country,category,text
Portugal,edu,"AMALIA - AMALIA is the first LLM designed for European Portuguese, with the aim of ensuring Portugal's linguistic and cultural sovereignty. The base version was launched in SEP25 and the full multimodal version (capable of interpreting text, images and video) arrives mid-2026. Use cases will focus on the areas of education, culture, speech, media, science and public administration. The model will be openly available so that it can be used and improved by scientists and development teams on any platform"
Portugal,edu,Iaedu.pt (making professional LLMs available to higher Education Institutions) · Education
Portugal,edu,Science Counter · Education
Portugal,edu,PRR document auditing checker · Education
Portugal,edu,www.iaedu.pt · Education
Saudi Arabia,edu,"Microsoft Copilot through Madrasati Educational Account, Generative AI tools through Madrasati educational account , Enabling teachers and students to use generative AI tools, such as Microsoft Copilot, for educational content creation, assessment design, classroom support, and learning activities · Education"
Saudi Arabia,edu,Student Admission – Predicting student admission outcomes and supporting admission-related decision-making through AI-powered predictive analytics · Education
Saudi Arabia,edu,Madrasati AI Assistant / Chatbot – Providing automated AI-based responses to beneficiaries’ inquiries and supporting users in accessing back-to-school and Madrasati platform services · Education
Singapore,edu,Learning assistant (LEA) - student tutoring · Education
Singapore,edu,LangBuddy - interactive mother tongue language voice chatbot · Education
Singapore,edu,Markly - teacher's marking co-pilot · Education
Singapore,edu,LangBuddy Mother Tongue language learning app · Education
Singapore,edu,Markly - AI feedback marking assistant · Education
Singapore,edu,"AI Platform - evaluation of AI trust, safety, accuracy · Education"
Turkiye,edu,"MEBBYS – AI-supported decision-support and business intelligence system integrated with GIS. Uses ML on large-scale educational, administrative, and spatial data for predictive analytics, early warning capabilities, and real-time insights supporting strategic planning and resource allocation.

Ai-based personalized guidance robot for lifelong learners

With the piloted guidance and course recommendation module, trainees are directed to the most suitable training programs by taking into account their age, education level, city of residence, and previous learning. Thanks to this personalized system, individuals aim to access courses that match their interests and needs more quickly. Developed with a digital guidance approach, the application is a chat-bot that will enable individuals to choose the most suitable training for them.

MEBİ Individual Learning Platform
It is s a digital educational ecosystem developed by the Ministry of National Education (MEB) to provide personalized, AI-supported learning for students and graduates · Education"
Turkiye,edu,"EBA Assistant – LLM-based personalised learning assistant. Delivers customised content recommendations, study plans, and instant academic support to students based on learner data. Leverages generative AI and learning analytics to enhance student engagement and self-regulated learning · Education"
Turkiye,edu,DİLİM – AI-supported language learning platform aligned with CEFR. Uses AI-based assessment models to analyse learner performance in speaking and writing tasks. Supports adaptive learning pathways by providing targeted feedback tailored to individual proficiency levels · Education
Turkiye,edu,"MEBBYS – AI-supported decision-support and ministry intelligence system integrated with GIS. Uses ML on large-scale educational, administrative, and spatial data for predictive analytics, early warning, and real-time insights supporting strategic planning and resource allocation · Education"
Turkiye,edu,"EBA Assistant – LLM-based personalised learning assistant delivering customised content recommendations, study plans, and instant academic support to students based on learner data · Education"
Turkiye,edu,"DİLİM – AI-supported language learning platform aligned with CEFR, using AI-based assessment models to analyse learner performance in speaking and writing tasks and provide adaptive feedback · Education"
Uruguay,edu,Ceibal (education) – Virtual tutoring
Uruguay,edu,SAT tutors support for marking assignments · Education
Uruguay,edu,PowerBuddy Content generation for teachers embedded in LMS · Education
Uruguay,edu,Aleks adaptive math platform · Education
Uruguay,edu,OBI chatbot for student guidance in executive functions · Education
Uruguay,edu,Adaptative English Test · Education
Uruguay,edu,School drop out forcasting · Education
West Bank and Gaza,edu,Data analysis · Education
West Bank and Gaza,edu,Personalization · Education
West Bank and Gaza,edu,Inervention · Education
Austria,health,"internal instance of Open WebUI: knowledge management, drafting texts · Health"
Chile,health,Virtual Analyst for FONASA medical leave management. Objective: Reduce medical leave processing times and shorten payment turnaround by the COMPIN boards
Chile,health,DART: Artificial intelligence in ophthalmology used by the Ministry of Health (Minsal). Objective: Prevent the development of diabetic retinopathy and improve the availability of ophthalmologists
Chile,health,Automated coding using natural language processing · Health
Congo (DRC),health,AI data analysis in the field of the universal health coverage
Egypt,health,"Title: Breast Cancer (MASA)
Application Domain Healthcare
	 
Technology Domain Computer vision
Brief:
Early detection is the most powerful tool in the fight against breast cancer. The Breast Cancer (MASA) AI-driven diagnostic solution supports radiologists and oncologists, enhancing the accuracy of mammogram interpretations, ensuring that life-saving diagnoses happen with an accuracy close to 90% for Egyptian women.
Description: 
Breast cancer is the most common cancer occurring in women worldwide. Early diagnosis of breast cancer can lead to proper treatment of affected patients, increase breast cancer survival rates, and significant reduction of treatment costs, personal trauma, and social burden. Screening for early diagnosis and treatment is a major step towards fighting the disease. Using artificial intelligence for screening and early detection can help with the process.
The Breast Cancer (MASA) solution has been developed using artificial intelligence, specifically computer vision techniques, to assist radiologists and oncologists in breast cancer detection during mammogram-based screening. The center in partnership with the Baheya Foundation created a reliable, and high-quality data set that was be used for training the AI models using mammograms from 60K Egyptian women.
The solution analyzes mammogram images to detect abnormal masses, classify them as benign or malignant, identify calcifications, detect asymmetrical features between breasts, while considering the breast tissue density according to the ACR classification. Results are presented according to the global BI-RADS standard. The solution accuracy is over 90% for Egyptian women.
With the deployment of the solution in Baheya hospitals, and solution launch in August 2025, the solution will help automate some of the breast cancer diagnosis tasks, aiding medical staff, reducing the examination costs, increasing the efficiency of this process, and making it available to a larger number of women for periodic checkup"
Hungary,health,"OkosSzolgáltatások (Healthcare Smart Services) - The OkosSzolgáltatások (Smart Services) platform is middleware accessible through the eMedSolution medical system, which aims to provide single-point access to new, innovative, primarily AI-based smart services developed in the healthcare sector. Currently, the development of platforms displaying care, prescription, laboratory and combined healthcare data, a chat function for healthcare documents, and other applications connected as a result of cooperation with other healthcare organizations is underway · Health"
Hungary,health,Brainomix (medical imaging with an AI-powered platform that automates validated imaging biomarkers) · Health
Hungary,health,Colorectal carcinoma detection AI (CRC) · Health
Hungary,health,"The OkosSzolgáltatások (Smart Services) platform is middleware accessible through the eMedSolution medical system, which aims to provide single-point access to new, innovative, primarily AI-based smart services developed in the healthcare sector. Currently, the development of platforms displaying care, prescription, laboratory and combined healthcare data, a chat function for healthcare documents, and other applications connected as a result of cooperation with other healthcare organizations is underway · Health"
Jordan,health,Paxera Imaging AI Tools · Health
Jordan,health,CAD4TB AI  that analyzes digital chest X-rays to detect pulmonary tuberculosi · Health
Jordan,health,"e-ICU Telehealth solution, AI-Assisted Analytics Uses advanced, predictive algorithms and proprietary data to identify patients at risk of deterioration, allowing for early, proactive intervention · Health"
Jordan,health,AI Clinical Imaging Reporting · Health
Jordan,health,Health Data Analytics Platform · Health
Jordan,health,eICU (Virtual Hospital) · Health
Mexico,health,Image analysis for early detection of breast cancer · Health
Mexico,health,Predictive systems · Health
Mexico,health,Digital pathology · Health
New Zealand,health,Al is able to transcribe and summarise a clinical conversation/consultation and automatically generate a medical note
Panama,health,Medical Appointments · Health
Panama,health,preventive control of chronical deseases · Health
Peru,health,Auditoria Prestacional con Machine Learning · Health
Peru,health,Chatbot for SIS-insured members · Health
Peru,health,AI-based benefit valuation · Health
Peru,health,QURE AI - Decision support for chest X-ray images · Health
Peru,health,ENSAP AI virtual assistant guiding users of MINSA's national public health school · Health
Peru,health,"LLM in an exploration phase, with proper risk management in controlled use cases · Health"
Philippines,health,KIRA - Katuwang na Impormasyon para sa Responsableng Aksyon - an  AI-powered chatbot delivering timely and reliable health information to the public · Health
Philippines,health,"DOH Data Collect (DDC) Dashboards, which harness AI-enabled analytics to monitor hospital bed capacity and support real-time decision making · Health"
Philippines,health,Administrative Issuances · Health
Portugal,health,"MODE – The Waste Monitoring Model: Detects waste and fraud in healthcare expenditures. Developed with a hybrid approach combining business rules and unsupervised decision-tree learning, it analyzes billing and prescription data to identify anomalies, assigning risk scores from 0 to 1 to patients, doctors, pharmacies, and providers, with higher scores indicating greater risk · Health"
Portugal,health,"Detect SNS 24: Early detection and prevention of skin cancer. Users can capture images of skin lesions using their smartphones, which are then automatically analyzed by an AI model that compares the patterns against validated clinical image databases. The system assigns a risk score to each lesion, enabling early identification of suspicious cases, reducing the time to medical evaluation, and providing objective support to healthcare professionals in clinical decision-making · Health"
Portugal,health,"Predictive Coding: Translates data recorded in Electronic Health Records into standardized numeric or alphanumeric formats, allowing diagnoses and procedures to be structured and normalized. High-quality coding is essential not only for accurate hospital financing but also for medical research, epidemiological surveillance, and health system planning · Health"
Portugal,health,"SICO (Death Certificate Information System) applies artificial intelligence to analyze death certificates in real time. Its main purpose is to identify abnormal patterns in mortality data and detect “risk moments” for public health, such as heatwaves or disease outbreaks, allowing health authorities to anticipate risks, issue alerts, and implement preventive measures more quickly and effectively · Health"
Saudi Arabia,health,"Tele-Stroke Platform – Ministry of Health: The Tele-Stroke Platform is a virtual urgent-care service provided through Seha Virtual Hospital to support stroke management across Saudi Arabia. The Tele-Stroke Platform provides urgent and specialized care for stroke patients by connecting peripheral hospitals with advanced stroke centers through a virtual medical platform. The platform uses artificial intelligence to support real-time CT scan analysis, accelerate diagnosis, reduce unnecessary patient transfers, improve the utilization of specialized medical personnel, lower operational costs, and enhance the quality of healthcare services"
Saudi Arabia,health,"SEHA Virtual Hospital — AI-supported virtual consultations, tele-ICU, and remote monitoring (world's largest virtual hospital) · Health"
Saudi Arabia,health,"Sehhaty - citizen super-app with AI features: symptom guidance, personalized reminders, lab results explanations · Health"
Saudi Arabia,health,"Tele-Stroke Platform – Ministry of Health: The Tele-Stroke Platform provides urgent and specialized care for stroke patients by connecting peripheral hospitals with advanced stroke centers through a virtual medical platform. The platform uses artificial intelligence to support real-time CT scan analysis, accelerate diagnosis, reduce unnecessary patient transfers, improve the utilization of specialized medical personnel, lower operational costs, and enhance the quality of healthcare services · Health"
Saudi Arabia,health,Chronical disease screening · Health
Saudi Arabia,health,Disease surveillance & outbreak forecasting — early-warning models on notifiable diseases and hospital admissions · Health
Saudi Arabia,health,"Sehhaty AI scheduling & triage — appointment prioritization, no-show prediction, symptom triage · Health"
Singapore,health,AI 360 View · Health
Singapore,health,Ask MOH · Health
Singapore,health,Claims Fraud Detection · Health
Singapore,health,AI 360 Regulation · Health
Singapore,health,Aberration Check · Health
South Sudan,health,"1. Disaster Management and Forecasting: The South Sudan Red Cross (SSRC) and OCHA use INFLOW-AI to forecast Nile flooding using transformer models, allowing for anticipatory funding and faster disaster response. AI algorithms and neural networks have also been used to predict flood risks with high accuracy. 
2. Agricultural Support: AI-powered mobile solutions, such as Smart Cassava, are being introduced for crop diagnosis and severity analysis. Machine learning models (like CropGuard) are used to detect and drive away birds to protect crops
3. Disaster Communication Chatbots: UNESCO has trained personnel on AI chatbots to disseminate disaster information, identify safe locations, and improve disaster response efficiency"
Thailand,health,AI Chest X-ray (pulmonary tuberculosis and lung cancer detection) · Health
Thailand,health,MOR-ASR Documentation · Health
Thailand,health,Ai Retina (Diabetic retinopathy detection) · Health
Thailand,health,Medical document summarization · Health
Turkiye,health,"Turkish Brain Project: By analyzing MRI scans of patients with brain tumors, artificial intelligence algorithms can be trained, and with the help of advanced scientific techniques, abnormal areas in the brain can be identified and subsequently classified"
Turkiye,health,Digital Eye – Mammography Project: aims to revolutionize the early diagnosis of breast cancer. The goal is to enhance the accuracy of radiologists’ mammography evaluation processes and minimize issues arising from human error through a newly developed AI-powered decision support system. The AI model analyzes mammography images to identify high-risk cases and prioritizes these for review by radiologists
Turkiye,health,"Digital Eye – Liver Project: The project performs AI-powered mass detection and classification. The AI models developed were integrated into the reporting system of the Ministry of Health’s Cancer Early Diagnosis Screening and Education Center, and the system’s first version was put into use. This provided support to relevant specialists for the faster and prioritized reporting of patients with potentially malignant masses. Additionally, an AI-based decision support system was provided to radiologists for testing purposes during the review of patients’ mammography images at hospitals affiliated with Başkent and Ankara Universities"
Turkiye,health,AI-Based Decision Support System for Mammography Images: AI-assisted radiological decision support for early breast cancer detection in mammography screening · Health
Turkiye,health,Brain CT Stroke AI Project: Automatic detection of stroke (hemorrhage/occlusion) from CT images · Health
Turkiye,health,"MKYS Artificial Intelligence Project: To extract product attributes from free-text medical supply records, standardize the data, and detect duplicate entries to improve data quality · Health"
Ukraine,health,"Digital vision screening using artificial intelligence – a project aimed at the early detection of retinal damage in patients with diabetes, with a view to ensuring timely referral to an ophthalmologist and reducing the risk of vision loss · Health"
Ukraine,health,"The use of artificial intelligence to analyse CT scan results – healthcare facilities are introducing AI-based solutions for analysing CT scans, enabling doctors to assess scan results more quickly and accurately · Health"
Ukraine,health,Artificial intelligence helps diagnose tuberculosis and other lung conditions — results of using state-of-the-art equipment in Ukraine · Health
Benin,infra,Smart data anonymization: A module that automatically identifies personal data in structured data or documents using LLMs
Benin,infra,"Intelligent Document Processing: Extract structured data from documents such as passports, land surveys, or birth certificates. Enables automatic processing of requests through AI agents"
Cambodia,infra,TranslateKH -  A machine translation tool for both English -> Khmer and Khmer -> English
Canada,infra,DEEPL PRO: Translation solution · Civil Service
Czechia,infra,"AI assistant for preparation of municipal IT strategies(""informační koncepce""). Purpose: use of AI (generative AI, LLM and NLP) to support municipalities in preparing municipal  ICT strategies through guided questionnaires, recommendations, and structured outputs, addressing capacity gaps in local public administrations"
Philippines,infra,Single Content Management System · Civil Service
Argentina,prod,Trayectoria formativa en IA
Australia,prod,"AI for Operational Blueprint (OB – Knowledge Management): AI for OB is a digital tool that helps staff quickly find clear and consistent information they need to support people in using Services Australia’s payments and services. It is designed to benefit frontline staff and, in turn, the public, by making it easier to locate the right guidance without searching through long or complex documents. The initiative was developed to address delays, confusion, and errors caused by difficult information searches, and to give staff more time to focus on helping people with their individual needs"
Australia,prod,"CLIKChat – an internal chatbot that supports Department of Veterans’ Affairs that summarises information from publicly available government sources – is designed to help staff easily navigate publicly available policy and compensation information and aims to improve the speed and accuracy of information for claims teams. The tool draws solely on public, non-personal information"
Australia,prod,"TM Checker is IP Australia's free trade mark availability check designed to lower the bar of entry for small to medium businesses by simplifying the learning process of a complex IP system. The tool allows customers to check the potential registrability of their trademarks and then proceed through the application process. TM Checker guides customers through a step-by-step process. It leverages AI-powered search tools to identify potential issues. This includes similarity and distinctiveness, the most common reasons for rejection"
Austria,prod,GovGPT
Austria,prod,AI in the Electronic file management system
Austria,prod,Grants4Companies
Azerbaijan,prod,Voice Bot
Azerbaijan,prod,Document Management System
Azerbaijan,prod,Digital Twin for Transport
Belgium,prod,"Chatbots DIV, Bea, Dofi etc"
Belgium,prod,Belgium's AI Antenna BE-AIFA
Bhutan,prod,Chatbot
Bhutan,prod,Dzongkha NLP
Bhutan,prod,chatbot for RCSC · Civil Service
Burkina Faso,prod,"Meta Oeil, accident-detection solution using urban video surveillance images"
Burkina Faso,prod,Registration platform for direct civil service exams · Civil Service
Burkina Faso,prod,Registration platform for civil service professional exams · Civil Service
Burkina Faso,prod,Electronic grading platform for candidates' exam papers · Civil Service
Burkina Faso,prod,Online Access System for Administrative and Payroll Information (ALIAS) · Civil Service
Burkina Faso,prod,"econcours.gov.bf, online registration for professional exams · Civil Service"
Burkina Faso,prod,Integrated mission workflow (developed by ANPTIC) · Civil Service
Cambodia,prod,EKYC
Cambodia,prod,Sarika - A text to speech platform for Khmer language
Canada,prod,"Canada’s Pre-load Air Cargo Targeting: A system that uses AI to detect risks in air cargo shipment data, making the transport of air cargo more secure and reducing the risk that concealed explosive devices or threat items cause harm to the transportation sector and the traveling public"
Canada,prod,Microsoft Copilot: General-purpose generative AI solution · Civil Service
Canada,prod,GitHub Copilot: Generative AI solution specialized in programming code generation and application development support · Civil Service
Canada,prod,"Artificial Intelligence Virtual Assistant (AIVA): Automates pay intake, calculations, and document handling, with all outputs reviewed, validated, and approved by compensation professionals.

The Compensation Virtual Assistant chatbot provides timely, reliable answers drawn from over 80,000 business rules, 150+ collective agreements, and more than 40,000 pages of directives, terms and conditions, and salary tables.

AIVA is a key component of the Government of Canada’s compensation services modernization. It supports the transformation of the HR-to-Pay intake process from a manual, transaction-based model to an efficient, data-driven, and client-centric approach. By combining intelligent automation with a user-friendly interface, AIVA reduces administrative burden, accelerates intake processing, and enables Compensation Advisors to focus on higher-value work · Civil Service"
Chile,prod,In-depth search of public background records for candidates to senior public management positions · Civil Service
Congo (DRC),prod,AI State exam correction (Snote Manager)
Congo (DRC),prod,AI data mining exploration and analysis
Costa Rica,prod,Traffic management
Costa Rica,prod,AI-based solution to improve women's care services
Costa Rica,prod,AI and Big Data for budgeting
Ethiopia,prod,Mela Agent
Ethiopia,prod,smart court systems
Greece,prod,"Contracts' check in Cadastre: AI recognizes the content of contracts, identifies critical legal elements, and automatically generates recommendations to the supervisor, who makes the final decision"
Greece,prod,Goal Setting · Civil Service
Greece,prod,“Procedures” · Civil Service
Greece,prod,WorkForce Plan · Civil Service
Greece,prod,Performance Management · Civil Service
Greece,prod,Workforce Planning · Civil Service
Guatemala,prod,ChatGPT - Personal assistant for public servants
Guatemala,prod,Gemini
Guatemala,prod,Copilot
Hungary,prod,"AI-assisted service management in the Municipality ASP service (centrally provided SaaS package of specialised softwares for the 3200 local municipalities in Hungary): Since a significant share of incoming incident tickets are not actual faults but stem from users’ lack of knowledge, an AI‑based self‑learning algorithm has been introduced to support back‑office ticket handling, significantly easing the workload of service managers. (Similar AI-assisted pilots are ongoing in different sectors, mostly based on in-house developments.)"
Hungary,prod,Piloting the use of Microsoft Copilot in office work
Hungary,prod,The Hungarian Governmental Personnel Decision Support IT System (EU funded project). Main purpose: workflow automation and knowledge management · Civil Service
Jamaica,prod,PICA Customer Relationship Manage System · Civil Service
Jamaica,prod,MyHR+ · Civil Service
Jamaica,prod,IrieFins · Civil Service
Jordan,prod,chatbot (RAG) · Civil Service
Jordan,prod,AI Driven Question Generation · Civil Service
Kazakhstan,prod,Egov AI
Kazakhstan,prod,Eotinish AI - E appeals platform
Kazakhstan,prod,Prevention of industrial injuries · Civil Service
Kenya,prod,chat boat and AI in agriculture
Kenya,prod,https://scholarmedia.africa/agribusiness/ai-in-agriculture-how-kenyan-farmers-benefit-from-plantvillage-nuru-app/
Kenya,prod,https://automag.co.ke/2025/09/01/how-ai-traffic-systems-reduce-nairobi-congestion/
Kosovo,prod,Monitoring and alert for decision making via Whole of Government platform
Kosovo,prod,AI selected training for public administration
Kosovo,prod,"Currently, the HRMIS generates standard reports and statistics; however, no AI/ML-based functionalities are implemented · Civil Service"
Lesotho,prod,Agric - Extension Advisory Services
Lesotho,prod,"Integrations with other systems
1. Integration with Home Affairs ID system where comparison of IDs is made and discrepancies reported · Civil Service"
Lesotho,prod,Integration with Budget System where payroll data is shared to inform budget projection · Civil Service
Lesotho,prod,Integration with Central deduction Administration System to load voluntary deductions into payroll module · Civil Service
Mexico,prod,Chatbot 24/7
Mexico,prod,Chatbot Turismo
Myanmar,prod,Legal Assistant AI Model
Myanmar,prod,Safe City Surveillance System
Nepal,prod,SSF Insurance Claim process via RPA · Civil Service
New Zealand,prod,AI to speed up Contact Centre call transcriptions
New Zealand,prod,Safe general use of large language models to increase productivity. problem or purpose Provide access to Generative Al technology in a cost-effective way. Prevent leakage of agency information
Panama,prod,Early Warning and Disaster Simulation System - SINAPROC
Peru,prod,Curia
Peru,prod,EleccIA
Peru,prod,YachAI bot
Philippines,prod,eGov AI (available in the eGovPH superapp )
Philippines,prod,Project MINAI- Managed Intelligent Network for Advanced Insight · Civil Service
Poland,prod,Virtual assistant in mObywatel
Poland,prod,Assistant in EZD RP
Poland,prod,RAGs in ministries
Portugal,prod,Its name is ‘Vitor’. It is a tool designed to answer queries and provide information on the DGAEP’s FAQs · Civil Service
Saudi Arabia,prod,"Verification System – Ministry of Human Resources and Social Development:
This AI solution supports compliance and control over establishment data by using artificial intelligence and natural language processing to assess whether an establishment’s trade name aligns with its declared economic activity. It processes unstructured text, detects ambiguity and inconsistencies, and automatically classifies results to support regulatory reporting and decision-making, improving data accuracy, regulatory efficiency, and market transparency"
Saudi Arabia,prod,AI Cybersecurity Advisor - AI-powered cybersecurity advisor that automatically converts conditional rules written in different query languages into the unified query language used in the ministry’s cyber threat detection systems. This helps strengthen monitoring and detection capabilities for cybersecurity threats across employee devices and ministry platform servers · Civil Service
Saudi Arabia,prod,Musaned AI Interview Service - AI-powered behavioral assessment of domestic workers via virtual interviews using facial expression and voice pattern analysis · Civil Service
Saudi Arabia,prod,"Verification System – Ministry of Human Resources and Social Development:
This AI solution supports compliance and control over establishment data by using artificial intelligence and natural language processing to assess whether an establishment’s trade name aligns with its declared economic activity. It processes unstructured text, detects ambiguity and inconsistencies, and automatically classifies results to support regulatory reporting and decision-making, improving data accuracy, regulatory efficiency, and market transparency · Civil Service"
Saudi Arabia,prod,\ AI Cybersecurity Advisor - AI-powered cybersecurity advisor that automatically converts conditional rules written in different query languages into the unified query language used in the ministry’s cyber threat detection systems. This helps strengthen monitoring and detection capabilities for cybersecurity threats across employee devices and ministry platform servers · Civil Service
Singapore,prod,Pair Chat - A secure AI chatbot for public officers' daily tasks
Singapore,prod,AIBots - platform for Public Officers to create customised Generative AI chatbots
Singapore,prod,"Transcribe, a speech-to-text platform that allows public officers to instantaneously receive live transcriptions of their source materials"
Singapore,prod,Pair Chat · Civil Service
Singapore,prod,Query@Gov HR Chatbot - To respond to Employee queries on HR policies · Civil Service
Singapore,prod,Job Description Generation - Generate Job description for roles to be hired in the agency · Civil Service
Singapore,prod,Query@Gov Chatbot - To answer Employee's queries on HR Policies · Civil Service
Singapore,prod,Orion CV Screening -To screen CVs of potential applicants to public sector jobs · Civil Service
South Sudan,prod,Smart Casava
South Sudan,prod,South Sudan Disaster Communication Chatbots:
Tajikistan,prod,Smart City cameras and traffic control
Thailand,prod,Ask AI
Thailand,prod,Facial Recognition Technology : FRT
Thailand,prod,MOT Executive Dashboard
